id,REF,Nome,"Descrição curta","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)",Preço,Categorias,Imagem1,Imagem2,Imagem3,Imagem4,Imagem5,Imagem6
303,NR-186-15x15,"Azulejos exclusivos com número de casa","Azulejo personalizado com número de residência feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-em-placa-de-azulejo-.jpg,,,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/173.jpg,,
305,NR-236-15x15,"Numero exclusivo feito em azulejo decorado","Azulejo descorado e personalizado com número de residência feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-decorado-com-numero-para-residencia.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-de-cerâmica-com-número-de-casa.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-com-número-de-casa-numero-de-casa-com-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-com-numero-de-residencia.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/numero-de-cas-gravado-no-azulejo.jpg
307,NR-380-15x15,"Azulejos exclusivos com número de casa","Azulejo personalizado e decorado com número de residência, feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-personalizado-com-numero-de-casa-1.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-residencia-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-decorado-com-numero-de-casa.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-com-numero-de-residencia.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-no-azulejo-decorado-.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-em-azulejo-2.jpg
309,NR-15x15-54,"Número pra sua casa em azulejo","Azulejo decorado artesanalmente com número de residência, feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Diagonal_-LB-54_B.jpg,,,,,
312,NR-325-15x15,"Endereço de casa gravado em azulejo","Azulejo personalizado com número de residência feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-gravado-em-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-decorado-com-numero-de-casa.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-residencia-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-em-azulejo-2.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-com-numero-de-residencia.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-personalizado-com-numero-de-casa-1.jpg
320,NR-15x15-261,"Azulejos decorados | números para residências","Número de residência gravado em azulejo e feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/numero-de-cas-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-decorado-com-numero-de-casa.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-residencia-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-em-azulejo-3.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-gravado-em-azulejo.jpg
322,NR-243-15x15,"Azulejo com número de casa","Azulejo decorado com número de residência feito sob encomenda",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-com-numero-de-residencia.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/numero-de-cas-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-personalizado-com-numero-de-casa-1.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-gravado-no-azulejo.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-em-azulejo-2.jpg
332,NR-ap-3,"Número exclusivo para casa","Ideal para apto., condomínio e vilas.",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Ap_Vertical_32.jpg,,,,,
348,NR-ap-128,"Cerâmica personalizada | Número de residência","Fundo com acabamento craquelê, para dar aspecto de peça envelhecida. Linda!!!",,,,,"60,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-casa-sob-encomenda.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-residencia-em-placa-ceramica.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Numero-de-residencia-sob-encomenda.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-personalizado-com-numero-de-casa.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/18x13-NANDI.jpg,http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Azulejo-personalizado-com-numero-de-residencia.jpg
356,NR-mod-354,"Número personalizado para residência","Linda faiança com acabamento craquelê, formato de 30x20 cm.",,,,,"92,00","Cerâmica personalizada com número de residência",http://atelielukabrasil.com.br/wp-content/uploads/2013/12/Placa-ceramica-com-numero-de-residencia-1.jpg,,,,,
